,hpo,label
1081,HP:0030465,o
1082,HP:0008275,o
1083,HP:0030466,o
1084,HP:0000512,o
1085,HP:0030453,o
1086,HP:0031829,m
1087,HP:0034552,o
1088,HP:0004016,o
1089,HP:0003848,o
1090,HP:0003021,o
1091,HP:0009809,o
1092,HP:0004015,o
1093,HP:0009982,o
1094,HP:0009974,o
1095,HP:0009972,o
1096,HP:0009971,o
1097,HP:0006159,o
1098,HP:0001161,o
1099,HP:0009997,o
1100,HP:0004275,o
1101,HP:0009142,o
1102,HP:0010442,o
1103,HP:0100260,o
1104,HP:0009999,o
1105,HP:0009976,o
1106,HP:0010008,o
1107,HP:0010005,o
1108,HP:0010026,o
1109,HP:0009658,o
1110,HP:0009767,o
1111,HP:0010009,o
1112,HP:0002933,o
1113,HP:0004299,o
1114,HP:0010866,o
1115,HP:0100790,o
1116,HP:0000490,o
1117,HP:0100886,o
1118,HP:0034429,o
1119,HP:0034747,o
1120,HP:0040253,f
1121,HP:0040252,f
1122,HP:0000056,f
1123,HP:0000055,f
1124,HP:0000811,o
1125,HP:0009457,o
1126,HP:0009447,o
1127,HP:0002113,o
1128,HP:0031983,o
1129,HP:3000019,o
1130,HP:0004426,o
1131,HP:0000309,o
1132,HP:0001818,o
1133,HP:0100803,o
1134,HP:0001597,o
1135,HP:0003863,o
1136,HP:0031095,o
1137,HP:0003063,o
1138,HP:0009554,o
1139,HP:0009553,o
1140,HP:0011361,o
1141,HP:0010720,o
1142,HP:0100037,o
1143,HP:0001965,o
1144,HP:0003542,o
1145,HP:0004366,o
1146,HP:0011013,o
1147,HP:0002154,o
1148,HP:0010895,o
1149,HP:0010894,o
1150,HP:0006691,o
1151,HP:0001641,o
1152,HP:0031971,o
1153,HP:0011103,o
1154,HP:0002346,o
1155,HP:0030188,o
1156,HP:0040183,o
1157,HP:0002607,o
1158,HP:0012700,o
1159,HP:0031064,o
1160,HP:0031058,o
1161,HP:0025142,o
1162,HP:0030923,o
1163,HP:0030101,o
1164,HP:0030100,o
1165,HP:0030089,o
1166,HP:0004303,o
1167,HP:0030765,o
1168,HP:0025235,o
1169,HP:0025234,o
1170,HP:0002360,o
1171,HP:0011759,o
1172,HP:0010509,o
1173,HP:0008363,o
1174,HP:0002454,o
1175,HP:0002453,o
1176,HP:0012675,o
1177,HP:0002656,o
1178,HP:0006566,o
1179,HP:0002611,o
1180,HP:0001396,o
1181,HP:0500030,o
1182,HP:0031137,o
1183,HP:0034644,o
1184,HP:0032243,o
1185,HP:0001216,o
1186,HP:0006257,o
1187,HP:0001191,o
1188,HP:0003019,o
1189,HP:0010660,o
1190,HP:0033315,o
1191,HP:0008430,o
1192,HP:0004568,o
1193,HP:0003312,o
1194,HP:0500060,o
1195,HP:0500049,o
1196,HP:0000488,o
1197,HP:0009940,o
1198,HP:0000277,o
1199,HP:0030791,o
1200,HP:0011821,o
1201,HP:0008661,o
1202,HP:0000796,o
1203,HP:0000795,o
1204,HP:0010936,o
1205,HP:5000043,o
1206,HP:0010478,o
1207,HP:0025487,o
1208,HP:0000014,o
1209,HP:0000239,o
1210,HP:0011328,o
1211,HP:0030289,o
1212,HP:0012674,f
1213,HP:0410216,o
1214,HP:0012335,o
1215,HP:0032984,o
1216,HP:0007800,o
1217,HP:0001090,o
1218,HP:0100887,o
1219,HP:0011870,o
1220,HP:0003540,o
1221,HP:0030402,o
1222,HP:0011869,o
1223,HP:0001872,o
1224,HP:0100528,o
1225,HP:0100527,o
1226,HP:0002103,o
1227,HP:0100606,o
1228,HP:0100552,o
1229,HP:0005607,o
1230,HP:0100526,o
1231,HP:0003378,o
1232,HP:0000764,o
1233,HP:0033547,o
1234,HP:0033544,o
1235,HP:0001966,o
1236,HP:0030855,o
1237,HP:0030854,o
1238,HP:0011409,o
1239,HP:0001194,o
1240,HP:0100034,o
1241,HP:0100033,o
1242,HP:0000722,o
1243,HP:0031432,o
1244,HP:0011663,o
1245,HP:0001638,o
1246,HP:0001707,o
